"Länskod","Kommunkod","Nivå 1","Nivå 2","Nivå 3","Nivå 4","Totalt, andel svar, procent","Enskild","Offentlig","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","120","Gustavsgården","","","","40% - 60%","0","100","30","40","9","88","64","62","74","63","57","62","53","56","85","73","83","77","73","51","41","74","55","77","48","81","81"
"1","120","Gustavsgården","B-huset","","","40% - 60%","0","100","33","42","8","89","42","36","45","50","42","50","60","45","73","73","75","58","45","18","30","73","50","64","42","86","67"
"1","120","Gustavsgården","C-huset","","","40% - 60%","0","100","25","40","15","81","79","78","94","55","63","65","63","65","95","80","95","85","94","80","60","80","47","95","45","89","90"
"1","120","Gustavsgården","D-huset","","","40% - 60%","0","100","38","38","0","100","75","71","77","93","71","77","33","60","86","73","79","86","73","38","23","70","89","73","57","80","92"
"1","123","Almens äldreboende","","","","40% - 60%","0","100","31","46","23","73","69","69","50","85","85","100","90","90","100","100","100","100","77","62","46","92","70","92","62","100","100"
"1","123","Björkens äldreboende","","","","40% - 60%","0","100","11","24","39","95","65","65","79","79","72","68","40","50","95","78","85","95","37","53","12","67","56","85","58","95","75"
"1","123","Ekens äldreboende","","","","40% - 60%","0","100","42","53","5","88","89","89","67","84","89","79","53","82","100","84","100","100","76","47","29","76","44","84","58","87","89"
"1","123","Flottiljen äldreboende","","","","60% - 80%","100","0","26","59","15","88","89","70","76","71","70","64","57","64","100","90","92","85","73","63","44","73","59","93","32","89","89"
"1","123","Lindens äldreboende","","","","60% - 80%","100","0","35","35","18","80","81","81","87","88","71","88","64","64","100","88","88","71","62","67","47","79","58","94","38","91","94"
"1","123","Lönnen äldreboende","","","","40% - 60%","100","0","24","38","8","72","63","52","64","82","65","55","33","60","96","73","95","92","47","33","45","78","53","96","54","83","79"
"1","123","Olovslunds äldreboende","","","","40% - 60%","0","100","40","53","20","70","93","73","75","92","80","87","62","57","93","79","93","87","69","69","43","100","83","93","53","86","87"
"1","123","Tallbohov","","","","40% - 60%","0","100","30","42","15","64","78","59","48","74","71","83","45","56","97","87","79","94","62","39","41","84","60","85","39","88","91"
"1","123","Tallbohov","Tallbohov Demens","","","40% - 60%","0","100","33","33","13","55","88","63","33","87","73","81","31","53","94","85","88","94","57","44","31","80","50","81","56","90","94"
"1","123","Tallbohov","Tallbohov Omsorg","","","40% - 60%","0","100","28","50","17","71","69","56","62","63","69","85","67","58","100","90","71","94","67","33","54","88","69","88","24","88","88"
"1","125","Ekgården","","","","40% - 60%","0","100","39","44","6","100","56","59","75","94","56","78","47","53","94","82","94","94","85","75","20","80","83","100","61","87","88"
"1","125","Färingsöhemmet","","","","60% - 80%","0","100","55","45","15","100","100","70","90","90","89","90","79","90","100","80","90","95","65","95","42","84","65","95","57","100","95"
"14","1487","Brålanda","","","","60% - 80%","100","0","26","37","12","74","50","67","52","84","77","82","43","65","96","91","88","81","48","42","27","70","52","81","54","88","77"
"1","126","Björnkulla","","","","40% - 60%","0","100","15","40","15","82","84","74","77","82","82","85","67","67","96","92","96","96","67","63","38","83","63","92","46","87","93"
"1","126","Björnkulla","Björnkulla 1","","","40% - 60%","0","100","20","40","20","88","78","82","82","91","82","100","86","75","100","100","91","90","56","73","57","91","90","100","55","78","91"
"1","126","Björnkulla","Björnkulla 1","Demensboende","","40% - 60%","0","100","13","50","25","x","86","100","89","100","89","100","x","x","100","100","89","88","57","67","x","89","100","100","44","86","89"
"1","126","Björnkulla","Björnkulla 2","","","40% - 60%","0","100","15","33","7","73","85","69","67","71","86","71","57","67","93","82","100","100","67","55","25","80","29","92","43","92","93"
"1","126","Björnkulla","Björnkulla 2","Demensboende","","20% - 40%","0","100","13","25","11","x","75","75","75","67","89","67","x","x","89","x","100","100","x","x","25","x","x","88","22","89","89"
"1","126","Ekgården","","","","60% - 80%","0","100","38","25","22","86","x","86","x","57","57","71","x","x","86","x","86","x","x","x","x","x","x","86","38","100","71"
"1","126","Ekgården","Demensboende","","","60% - 80%","0","100","38","25","22","86","x","86","x","57","57","71","x","x","86","x","86","x","x","x","x","x","x","86","38","100","71"
"1","126","Kullagården","","","","40% - 60%","0","100","17","50","8","92","92","73","100","75","75","92","75","75","92","89","92","83","100","40","60","100","78","100","42","90","83"
"1","126","Kullagården","Demensboende","","","40% - 60%","0","100","17","50","8","92","92","73","100","75","75","92","75","75","92","89","92","83","100","40","60","100","78","100","42","90","83"
"1","126","Nygården","","","","40% - 60%","0","100","25","30","15","94","76","57","86","52","52","67","20","50","81","58","75","60","48","40","24","79","31","70","43","78","70"
"1","126","Nygården","Demensboende","","","40% - 60%","0","100","22","22","22","88","100","67","89","78","78","67","x","63","89","50","67","75","44","44","33","86","x","88","33","75","67"
"1","126","Nygården","Sjukhem","","","60% - 80%","0","100","27","36","9","100","58","50","83","33","33","67","27","42","75","64","82","50","50","36","17","75","20","58","50","80","73"
"1","126","Rosendalsgården","","","","60% - 80%","0","100","23","48","13","96","77","63","70","73","68","61","50","61","100","80","90","87","76","86","27","67","25","70","57","90","90"
"1","126","Rosendalsgården","Ålderdomshem","","","60% - 80%","0","100","23","48","13","96","77","63","70","73","68","61","50","61","100","80","90","87","76","86","27","67","25","70","57","90","90"
"1","126","Skutan, Attendo","","","","20% - 40%","100","0","20","46","7","85","79","71","18","75","82","79","45","42","87","83","100","83","67","21","15","75","38","86","62","89","100"
