"Länskod","Kommunkod","Nivå 1","Nivå 2","Nivå 3","Nivå 4","Totalt, andel svar, procent","Enskild","Offentlig","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","117","Smedbygården","Ext Stockholm","","","60% - 80%","100","0","27","38","27","94","95","91","91","95","91","100","89","75","100","100","95","100","89","100","53","95","73","100","86","100","91"
"1","117","Smedbygården","Ext Stockholm","Gruppboende","","60% - 80%","100","0","27","38","27","94","95","91","91","95","91","100","89","75","100","100","95","100","89","100","53","95","73","100","86","100","91"
"1","117","Solskiftets äldreboende","","","","60% - 80%","0","100","11","26","5","71","63","56","59","50","53","58","17","56","74","68","84","79","71","65","37","58","22","50","37","33","53"
"1","117","Solskiftets äldreboende","Grön","","","80% - 100%","0","100","11","22","0","86","67","56","67","50","50","78","22","75","78","78","89","89","75","67","33","67","22","63","33","x","67"
"1","117","Vårdbo","","","","80% - 100%","100","0","38","33","8","100","91","36","90","42","33","64","45","56","100","91","83","92","67","27","40","67","9","75","67","70","75"
"1","117","Vårdbo","Plan 2","","","80% - 100%","100","0","25","29","0","100","x","x","x","14","29","x","57","x","100","100","86","86","71","x","x","57","14","86","57","x","86"
"1","120","Aleris Slottsovalen","","","","40% - 60%","100","0","29","38","6","100","87","81","94","79","92","100","64","75","100","77","100","100","100","94","25","100","73","100","88","100","100"
"1","120","Aleris Slottsovalen","Blå och Grön","","","40% - 60%","100","0","63","38","0","x","88","88","88","88","88","100","x","63","100","86","100","100","100","88","25","100","57","100","88","100","100"
"1","120","Aleris Slottsovalen","Gul och Röd","","","40% - 60%","100","0","0","38","11","100","86","75","100","x","x","x","x","x","100","x","100","100","x","100","x","100","x","100","89","100","100"
"1","120","Attendo Ljung","","","","20% - 40%","100","0","24","24","18","86","81","67","86","60","60","80","57","64","100","80","81","94","71","63","33","87","50","80","38","93","88"
"1","120","Attendo Ljung","Demens","","","20% - 40%","100","0","25","13","25","x","57","57","86","x","71","x","x","x","100","x","57","86","86","71","x","x","x","x","43","x","86"
"1","120","Attendo Ljung","Somatisk","","","40% - 60%","100","0","22","33","11","75","100","75","86","44","50","67","67","75","100","78","100","100","57","56","33","89","x","78","33","88","89"
"1","120","Djuröhemmet","","","","40% - 60%","0","100","14","38","0","90","75","57","83","79","75","80","50","58","92","64","82","67","56","58","45","91","50","77","46","100","67"
"1","120","Djuröhemmet","Storskär","","","40% - 60%","0","100","14","x","0","x","x","71","x","71","x","x","x","x","100","x","x","x","x","x","x","x","x","x","x","x","x"
"1","120","Gustavsgården","","","","40% - 60%","0","100","17","36","7","89","85","60","71","59","69","68","42","55","93","76","79","74","63","49","40","73","41","76","38","76","76"
"1","120","Gustavsgården","B-hus","","","40% - 60%","0","100","17","27","27","90","100","50","58","50","67","91","44","50","100","73","75","75","45","55","30","64","30","75","33","x","75"
"1","120","Gustavsgården","C-hus","","","60% - 80%","0","100","9","39","0","90","83","73","81","52","80","61","36","55","91","82","83","74","73","50","45","77","41","83","43","83","74"
"1","120","Gustavsgården","D-hus","","","20% - 40%","0","100","36","40","0","88","80","50","71","90","56","67","x","x","100","71","82","82","x","44","40","80","63","70","33","90","89"
"1","123","Almens äldreboende","","","","40% - 60%","0","100","8","33","8","56","45","20","29","50","33","27","38","40","75","58","67","75","27","20","40","70","x","58","38","75","42"
"1","123","Björkens äldreboende","","","","20% - 40%","0","100","29","29","29","100","92","100","83","79","86","92","50","36","100","90","100","100","55","57","46","93","67","100","31","93","100"
"1","123","Ekens äldreboende","","","","40% - 60%","0","100","38","30","16","89","90","52","21","90","86","75","56","71","100","84","95","90","55","39","40","71","58","67","48","89","90"
"1","123","Flottiljen äldreboende","","","","60% - 80%","100","0","20","40","13","80","79","53","67","64","59","67","44","57","93","85","79","73","63","52","32","75","35","83","47","77","72"
"1","123","Lindens äldreboende","","","","40% - 60%","100","0","38","17","0","90","58","67","58","77","58","36","40","40","85","70","73","91","73","67","25","83","43","77","15","100","67"
"1","123","Lönnen äldreboende","","","","40% - 60%","100","0","16","46","16","71","62","39","57","73","70","77","44","60","100","90","88","91","43","50","32","84","56","76","42","85","83"
"1","123","Olovslunds äldreboende","","","","40% - 60%","0","100","20","40","0","100","82","60","57","73","73","82","25","44","100","78","90","91","75","70","36","100","63","91","45","89","82"
"1","123","Tallbohov","","","","40% - 60%","0","100","36","38","15","85","76","62","35","74","72","82","55","63","100","83","88","81","73","37","44","80","52","85","50","89","76"
"1","123","Tallbohov","Tallbohov Demens","","","20% - 40%","0","100","29","21","29","78","73","55","33","54","73","83","13","50","100","80","83","75","64","36","27","82","70","100","36","80","69"
"1","123","Tallbohov","Tallbohov Omsorg","","","40% - 60%","0","100","42","50","5","91","78","67","36","89","72","81","83","71","100","86","93","87","82","38","57","79","38","75","61","100","81"
"1","125","Ekgården","","","","40% - 60%","0","100","27","36","5","100","73","79","68","77","50","57","18","38","95","61","91","82","67","57","29","80","50","91","55","85","82"
"1","125","Färingsöhemmet","","","","60% - 80%","0","100","27","35","15","92","77","62","86","69","70","88","79","57","100","88","96","92","63","67","29","92","82","88","65","94","85"
"1","125","Kullen","","","","40% - 60%","100","0","27","30","10","90","74","54","76","51","63","70","47","52","95","70","78","83","63","60","33","65","48","76","56","86","85"
"1","126","Björnkulla","","","","40% - 60%","0","100","28","40","20","95","83","79","67","87","76","83","44","69","96","71","92","90","61","77","35","90","71","100","44","94","92"
"1","126","Björnkulla","Björnkulla 1","","","40% - 60%","0","100","25","44","25","93","87","80","69","80","79","81","50","80","94","69","100","83","75","79","33","93","77","100","56","90","100"
"1","126","Björnkulla","Björnkulla 1","Demensboende","","40% - 60%","0","100","29","50","29","100","85","77","71","77","83","79","50","88","100","73","100","80","70","83","43","92","82","100","50","100","100"
"1","126","Björnkulla","Björnkulla 2","","","20% - 40%","0","100","33","33","11","x","78","78","63","100","71","86","x","x","100","75","78","100","x","75","38","86","x","100","22","100","78"
"1","126","Kullagården","","","","40% - 60%","0","100","20","36","27","92","73","93","87","60","85","93","50","82","100","77","93","93","77","43","54","90","78","93","71","91","93"
"1","126","Kullagården","Demensboende","","","40% - 60%","0","100","20","36","27","92","73","93","87","60","85","93","50","82","100","77","93","93","77","43","54","90","78","93","71","91","93"
"1","126","Nygården","","","","40% - 60%","0","100","15","45","5","89","84","61","74","53","74","50","50","65","90","67","84","75","39","30","21","53","29","61","33","56","71"
"1","126","Nygården","Demensboende","","","40% - 60%","0","100","17","42","8","100","100","73","82","60","91","50","63","56","83","60","91","75","60","42","18","64","43","70","30","70","67"
"1","126","Nygården","Sjukhem","","","40% - 60%","0","100","13","50","0","75","63","43","63","43","50","50","38","75","100","75","75","75","13","13","25","38","14","50","38","x","75"
"1","126","Rosendalsgården","","","","60% - 80%","0","100","30","56","13","90","76","56","86","69","77","67","59","57","94","61","87","87","69","93","45","73","42","87","50","85","77"
"1","126","Rosendalsgården","Ålderdomshem","","","60% - 80%","0","100","30","56","13","90","76","56","86","69","77","67","59","57","94","61","87","87","69","93","45","73","42","87","50","85","77"
"1","126","Skutan, Attendo","","","","40% - 60%","100","0","25","21","0","86","79","50","33","62","55","45","40","10","86","60","93","79","45","20","23","69","38","79","56","80","86"
"1","126","Stuvstagården","","","","40% - 60%","0","100","0","33","0","x","63","44","43","63","x","78","29","75","100","100","78","89","25","63","22","75","x","78","22","100","67"
"1","126","Stuvstagården","Demensboende","","","40% - 60%","0","100","0","33","0","x","63","44","43","63","x","78","29","75","100","100","78","89","25","63","22","75","x","78","22","100","67"
"1","126","Tallgården","","","","40% - 60%","0","100","44","58","15","81","71","50","64","61","64","65","38","45","91","76","79","71","60","63","50","68","64","72","48","80","75"
"1","126","Tallgården","Tallgården 1","","","40% - 60%","0","100","28","39","6","67","56","31","40","47","35","50","25","24","89","67","67","56","44","38","24","50","38","59","59","60","53"
"1","126","Tallgården","Tallgården 1","Ålderdomshem","","40% - 60%","0","100","28","39","6","67","56","31","40","47","35","50","25","24","89","67","67","56","44","38","24","50","38","59","59","60","53"
"1","126","Tallgården","Tallgården 2","","","40% - 60%","0","100","63","80","25","94","88","71","80","75","94","81","54","75","94","86","94","88","73","88","80","87","92","87","38","100","100"
"1","126","Tallgården","Tallgården 2","Ålderdomshem","","40% - 60%","0","100","63","80","25","94","88","71","80","75","94","81","54","75","94","86","94","88","73","88","80","87","92","87","38","100","100"
"1","126","Västergården","","","","20% - 40%","0","100","13","32","24","87","78","48","48","70","71","46","38","45","92","78","81","58","40","41","30","89","42","83","38","68","70"
"1","126","Västergården","Västergården 1","","","20% - 40%","0","100","14","38","50","x","63","50","38","100","75","50","43","29","86","50","75","38","x","38","29","86","x","100","43","x","x"
"1","126","Västergården","Västergården 1","Demensboende","","20% - 40%","0","100","14","38","50","x","63","50","38","100","75","50","43","29","86","50","75","38","x","38","29","86","x","100","43","x","x"
"1","126","Västergården","Västergården 2","","","40% - 60%","0","100","12","29","12","89","87","47","54","56","69","44","36","53","94","93","85","69","50","43","31","92","38","76","35","64","65"
"1","126","Västergården","Västergården 2","Ålderdomshem","","40% - 60%","0","100","14","36","14","88","86","46","55","50","67","43","42","57","93","92","82","69","50","42","31","91","45","79","29","64","64"
"1","126","Vårbacka Plaza Aleris","","","","20% - 40%","100","0","15","33","15","80","92","55","82","75","50","91","67","60","92","85","92","85","90","70","44","92","80","83","73","88","92"
"1","126","Ängsgården","","","","40% - 60%","0","100","31","54","31","100","67","46","83","83","67","67","57","56","100","70","100","67","27","31","20","73","56","85","38","75","67"
"1","126","Ängsgården","Demensboende","","","40% - 60%","0","100","31","54","31","100","67","46","83","83","67","67","57","56","100","70","100","67","27","31","20","73","56","85","38","75","67"
"1","127","Alby Äng","","","","40% - 60%","0","100","20","26","10","79","56","50","69","70","53","56","33","53","89","69","80","74","53","58","18","88","53","79","35","86","72"
"1","127","Alby Äng","Demens","","","20% - 40%","0","100","17","9","17","75","55","64","80","83","55","50","38","50","100","67","92","75","30","67","20","78","40","75","46","80","73"
"1","127","Alby Äng","Somatisk","","","40% - 60%","0","100","25","50","0","x","57","29","x","50","50","63","29","57","75","71","63","71","86","43","14","100","x","86","14","x","71"
"1","127","Allégården","","","","40% - 60%","0","100","38","44","25","93","67","57","62","80","64","81","43","54","100","86","88","87","50","50","40","92","80","81","69","100","81"
"1","127","Allégården","Demens","","","40% - 60%","0","100","44","33","22","100","88","57","50","100","75","89","50","x","100","86","100","75","50","56","50","x","x","89","67","100","89"
"1","127","Allégården","Somatisk","","","20% - 40%","0","100","29","57","29","86","43","57","x","57","x","71","x","57","100","86","71","100","x","43","29","86","x","71","71","x","71"
"1","127","Kärsdala","","","","60% - 80%","0","100","31","26","9","91","55","59","58","60","58","71","37","50","89","57","73","83","37","56","24","74","32","69","32","79","63"
"1","127","Kärsdala","Somatisk","","","60% - 80%","0","100","37","30","10","88","55","64","58","63","59","70","39","56","90","58","75","83","42","55","21","73","38","64","34","74","67"
"1","127","Lindhovshemmet","","","","40% - 60%","100","0","27","45","9","78","60","82","50","50","50","73","25","70","90","82","82","70","78","40","60","40","10","80","20","88","78"
"1","127","Riksten Plaza","","","","20% - 40%","100","0","25","38","13","86","50","50","x","50","38","50","x","38","88","63","57","100","38","x","13","50","0","88","43","71","63"
"1","127","Sandstugan","","","","40% - 60%","100","0","18","35","18","50","53","75","57","82","81","81","55","69","94","77","81","100","71","71","36","75","69","80","35","86","82"
"1","127","Sandstugan","Demens","","","20% - 40%","100","0","38","50","25","x","63","86","x","88","100","100","x","86","100","86","88","100","86","x","38","x","x","x","25","x","88"
"1","127","Silverkronan","","","","40% - 60%","0","100","35","26","9","78","48","57","72","57","55","52","50","60","86","71","86","81","65","64","40","64","33","86","55","62","76"
"1","127","Silverkronan","Demens","","","40% - 60%","0","100","33","27","13","73","60","67","70","67","64","67","43","58","79","69","86","77","77","64","50","50","30","86","57","60","69"
"1","127","Silverkronan","Somatisk","","","40% - 60%","0","100","38","25","0","86","25","38","75","38","38","25","63","63","100","75","88","88","43","63","25","88","38","88","50","x","88"
"1","127","Tornet","","","","40% - 60%","0","100","16","16","5","71","47","41","60","53","29","32","20","6","61","50","78","61","24","41","17","56","29","47","32","58","56"
"1","127","Tornet","Demens","","","40% - 60%","0","100","8","17","8","70","36","20","38","42","18","17","22","0","55","29","64","58","17","27","9","50","22","36","33","50","45"
"1","127","Tornet","Somatisk","","","40% - 60%","0","100","29","14","0","x","x","71","86","71","x","57","x","x","71","x","100","x","x","x","29","x","x","x","29","x","71"
"1","127","Tumba","","","","40% - 60%","0","100","23","19","6","74","57","48","24","53","57","61","44","57","82","64","59","68","48","40","24","71","36","65","35","71","68"
"1","127","Tumba","Demens","","","60% - 80%","0","100","20","27","7","78","50","36","22","54","50","67","25","50","85","67","67","77","25","31","44","89","x","73","29","86","73"
"1","127","Tumba","Somatisk","","","40% - 60%","0","100","25","15","5","72","61","56","25","53","63","58","53","60","80","63","55","61","62","47","15","63","31","60","40","57","65"
"1","128","Rosstorp boende","","","","40% - 60%","100","0","30","30","25","79","72","78","61","65","56","59","78","57","94","81","94","88","71","67","25","94","56","89","50","92","100"
"1","128","Rosstorp boende","Ext Stockholm","","","40% - 60%","100","0","14","0","14","x","x","x","x","43","x","71","x","x","100","x","86","x","x","57","x","x","x","100","43","x","100"
"1","128","Salarpshemmet","","","","40% - 60%","0","100","32","40","5","94","75","79","78","70","69","70","38","53","95","67","95","89","71","65","18","69","71","75","55","93","90"
"1","128","Säbyhemmet","","","","20% - 40%","0","100","20","50","10","89","63","57","50","88","x","56","57","75","100","78","88","100","x","44","33","x","x","89","44","100","86"
"1","128","Äldreboendet Söderby Park","","","","40% - 60%","0","100","43","57","29","x","86","57","43","x","86","71","43","57","86","x","71","86","x","x","43","86","x","57","43","x","57"
"1","136","Baldersro Plaza","","","","40% - 60%","100","0","25","33","20","92","60","73","46","60","73","75","53","63","88","80","80","93","67","46","20","92","31","75","53","100","81"
"1","136","Hagagården","","","","40% - 60%","0","100","33","38","11","91","67","58","68","80","65","74","53","65","95","76","81","81","54","59","30","70","44","83","38","78","85"
"1","136","Hanveden","","","","60% - 80%","100","0","29","26","17","94","67","48","40","64","61","70","35","65","92","77","73","68","40","40","30","83","35","71","48","93","60"
"1","136","Johanneslund","","","","40% - 60%","0","100","24","22","12","79","60","73","70","63","55","62","45","62","93","85","76","83","70","54","39","78","67","85","43","88","83"
"1","136","Johanneslund","Johanneslund A","","","40% - 60%","0","100","27","32","9","88","59","75","55","73","53","64","40","58","95","87","82","91","59","41","26","68","58","86","41","83","85"
"1","136","Johanneslund","Johanneslund B","","","60% - 80%","0","100","20","11","15","71","60","70","85","53","58","60","50","65","90","84","68","74","81","71","53","89","76","85","45","94","80"
"1","136","Lillgården","","","","60% - 80%","100","0","22","22","0","75","75","33","75","56","56","44","38","44","88","57","67","56","56","56","50","78","29","44","63","x","56"
"1","136","Lovisa Gården","","","","20% - 40%","100","0","10","40","20","100","67","100","29","89","80","100","x","100","100","88","100","100","x","67","11","75","75","100","56","100","100"
"1","136","Malmgården","","","","60% - 80%","0","100","29","43","7","85","92","50","50","77","73","83","40","55","100","80","100","86","58","57","38","92","92","100","43","89","86"
"1","136","Ros-Anders Gård","","","","40% - 60%","0","100","36","38","13","73","77","50","93","64","43","64","45","50","86","70","93","86","69","50","33","80","44","92","38","75","92"
"1","136","Vallagården","","","","40% - 60%","0","100","36","27","27","80","80","50","91","73","55","70","x","38","100","78","90","91","44","70","36","73","44","82","64","91","82"
"1","136","Vendelsögården","","","","40% - 60%","100","0","27","36","9","94","85","86","48","67","71","77","39","47","95","76","90","95","60","50","37","79","44","90","77","90","86"
"1","138","Björkbackens äldrecentrum","","","","40% - 60%","0","100","22","35","15","98","64","48","71","58","62","73","47","58","98","84","83","86","38","43","36","78","51","87","50","90","84"
"1","138","Björkbackens äldrecentrum","Björkebo äldreboende","","","40% - 60%","0","100","13","25","13","92","40","33","57","56","69","75","46","50","94","73","71","79","33","40","43","79","47","88","44","89","73"
"1","138","Björkbackens äldrecentrum","Gruppboende Näckrosen /Solrosen","","","40% - 60%","0","100","50","50","0","100","63","43","57","43","x","88","x","x","100","x","71","86","x","43","14","57","x","75","38","86","71"
"1","138","Björkbackens äldrecentrum","Kastanjen","","","40% - 60%","0","100","9","36","18","100","73","45","82","64","40","45","36","64","100","80","90","90","38","60","25","78","40","82","64","x","91"
"1","138","Björkbackens äldrecentrum","Syrenen","","","40% - 60%","0","100","27","36","27","100","100","73","90","64","73","90","67","70","100","100","100","91","63","30","57","90","60","100","55","100","100"
"1","138","Privat utförare","","","","40% - 60%","100","0","27","39","14","83","65","56","80","74","60","76","53","63","96","81","87","87","41","71","39","76","64","83","43","87","84"
"1","138","Privat utförare","Krusmyntans äldreboende","","","40% - 60%","100","0","26","26","11","82","61","53","86","88","42","80","73","78","100","85","94","94","43","67","27","83","58","93","31","89","89"
"1","138","Privat utförare","Trollängens äldreboende","","","40% - 60%","100","0","36","48","12","78","67","54","77","63","65","73","33","55","92","79","83","78","44","74","48","61","53","75","48","84","76"
"1","138","Privat utförare","Ängsgården","","","20% - 40%","100","0","0","43","25","100","71","71","75","86","71","75","71","x","100","x","88","100","29","71","x","100","100","88","50","88","100"
"1","139","Bro","","","","40% - 60%","0","100","14","35","14","85","74","66","64","62","62","78","45","71","94","78","76","81","69","61","37","70","50","82","38","77","82"
"1","139","Bro","Allégården","","","40% - 60%","0","100","0","63","13","x","71","86","63","88","86","75","57","x","100","x","75","75","x","x","x","75","57","100","25","x","88"
"1","139","Bro","Bro servicehus","","","60% - 80%","0","100","0","10","20","75","90","x","25","56","11","80","38","78","100","88","80","90","x","38","20","50","x","78","40","x","70"
"1","139","Bro","Norrgården","","","40% - 60%","0","100","26","37","11","87","67","68","82","53","78","79","43","64","89","64","74","78","71","65","50","79","64","76","42","80","88"
"1","139","Kungsängen","","","","40% - 60%","23","77","26","50","12","81","71","67","58","58","55","69","35","50","91","60","82","84","62","53","30","72","41","66","38","81","66"
"1","139","Kungsängen","Hagtorp","","","20% - 40%","100","0","13","63","13","57","63","38","38","38","50","71","50","43","75","38","75","75","29","63","13","63","x","38","25","x","38"
"1","139","Kungsängen","Kungsgården","","","60% - 80%","0","100","24","50","13","92","69","73","60","65","64","75","36","50","100","77","88","87","69","53","47","82","50","80","50","87","76"
"1","139","Kungsängen","Kungsängens servicehus","","","60% - 80%","0","100","40","40","10","88","80","86","75","63","43","56","22","56","89","56","78","89","x","44","20","70","30","67","30","x","70"
"1","140","Lugnet","","","","40% - 60%","0","100","33","29","10","100","95","59","75","86","68","76","38","60","100","94","95","95","74","89","44","83","71","76","50","90","81"
"1","160","Boende i Täby","","","","40% - 60%","89","11","24","35","19","91","73","60","60","72","66","70","45","60","92","77","82","79","65","61","36","75","50","77","52","81","80"
"1","160","Boende i Täby","Allégården","","","40% - 60%","100","0","37","53","7","92","73","48","67","93","72","72","42","68","90","73","80","78","65","55","41","78","35","76","50","62","79"
"1","160","Boende i Täby","Allégården","Gruppboende","","40% - 60%","100","0","0","14","0","x","29","14","x","x","x","x","x","x","x","x","57","x","x","14","x","x","x","29","57","x","x"
"1","160","Boende i Täby","Allégården","Vårdboende","","60% - 80%","100","0","48","65","9","100","87","59","82","96","83","83","47","76","96","82","87","91","74","68","48","86","40","91","48","80","91"
"1","160","Boende i Täby","Attundagården","","","20% - 40%","100","0","18","29","18","94","76","41","35","68","59","44","40","50","90","61","81","67","44","33","37","56","14","60","24","53","76"
"1","160","Boende i Täby","Attundagården","Gruppboende","","20% - 40%","100","0","38","50","38","x","63","50","x","88","71","43","x","x","88","43","100","63","43","38","57","x","x","x","14","x","71"
"1","160","Boende i Täby","Attundagården","Vårdboende","","40% - 60%","100","0","7","15","7","92","85","36","25","57","50","45","44","50","92","73","71","69","45","31","25","58","10","50","29","55","79"
"1","160","Boende i Täby","Broby gård Gruppboende","","","40% - 60%","100","0","25","40","40","86","75","80","80","83","82","89","42","67","95","73","94","84","75","68","47","81","69","83","55","80","83"
"1","160","Boende i Täby","Enhagsslingan","","","60% - 80%","100","0","32","32","16","97","89","69","94","61","72","81","38","73","97","91","86","84","71","83","35","88","64","84","59","93","86"
"1","160","Boende i Täby","Enhagsslingan","Gruppboende","","60% - 80%","100","0","25","31","13","100","93","80","94","87","92","94","50","73","100","100","93","94","92","81","31","92","62","94","50","100","100"
"1","160","Boende i Täby","Enhagsslingan","Vårdboende","","80% - 100%","100","0","27","27","9","90","91","73","90","27","56","60","30","80","100","82","82","64","x","90","55","91","64","73","64","71","73"
"1","160","Boende i Täby","Furan Gruppboende","","","60% - 80%","100","0","33","44","39","100","81","82","31","94","82","88","67","67","100","92","88","94","77","75","56","88","86","100","72","100","89"
"1","160","Boende i Täby","Höstfibblan Vårdboende","","","80% - 100%","100","0","19","31","19","85","88","87","67","88","75","69","50","63","88","80","88","81","73","79","47","87","57","69","63","75","81"
"1","160","Boende i Täby","Näsbyparks Parkinsonboende","","","40% - 60%","100","0","11","14","22","100","50","11","22","50","25","50","25","38","89","71","75","88","25","56","14","50","25","50","56","x","67"
"1","163","Gabriels gård","","","","20% - 40%","100","0","14","57","14","x","x","x","x","86","57","x","x","x","71","x","x","x","x","x","43","x","x","x","57","x","x"
"1","160","Boende i Täby","Silverpark","Vårdboende","","80% - 100%","100","0","44","44","22","100","67","89","43","100","89","67","25","75","89","100","88","88","75","x","38","63","57","67","67","x","100"
"1","160","Boende i Täby","Små boenden","","","80% - 100%","100","0","14","31","21","100","86","71","86","93","86","93","80","82","100","86","100","93","77","86","62","100","67","100","71","100","100"
"1","160","Boende i Täby","Små boenden","Rallarrosen Gruppboende","","80% - 100%","100","0","22","13","22","100","89","89","100","100","100","89","x","86","100","89","100","89","75","89","63","100","71","100","78","100","100"
"1","160","Boende i Täby","Tibblehemmet","","","60% - 80%","100","0","16","31","7","82","51","32","26","48","38","54","30","29","81","53","62","63","56","42","19","60","38","68","42","67","56"
"1","160","Boende i Täby","Tibblehemmet","Gruppboende","","60% - 80%","100","0","25","19","19","82","53","27","15","71","58","57","40","40","81","60","60","73","55","33","23","55","38","73","31","73","56"
"1","160","Boende i Täby","Tibblehemmet","Vårdboende","","60% - 80%","100","0","11","38","0","82","50","35","32","35","28","52","25","25","81","50","63","58","57","46","17","63","38","65","48","62","56"
"1","160","Boende i Täby","Ångaren","","","40% - 60%","3","97","16","33","13","92","65","67","75","55","59","70","57","65","97","88","83","79","73","50","29","69","36","77","48","93","80"
"1","160","Boende i Täby","Ångaren","Vårdboende","","60% - 80%","5","95","14","36","5","94","68","63","72","50","55","62","47","63","95","89","90","80","71","53","26","68","28","67","50","95","82"
"1","162","Annebergsgården","","","","60% - 80%","0","100","35","65","0","100","81","59","94","85","67","86","27","62","100","77","94","88","75","88","54","77","17","88","65","77","88"
"1","162","Annebergsgården","Eneby + Nora","","","40% - 60%","0","100","43","57","0","x","71","57","86","x","x","x","x","x","100","x","86","86","x","86","x","x","x","71","86","x","86"
"1","162","Annebergsgården","Mörby + Ösby","","","60% - 80%","0","100","30","70","0","100","89","60","100","86","56","89","x","86","100","71","100","90","71","89","33","86","x","100","50","75","90"
"1","162","Klingsta äldreboende","","","","20% - 40%","0","100","33","30","17","91","83","36","64","92","75","73","29","67","92","57","100","82","56","64","60","82","x","83","36","91","91"
"1","162","Mörbylund gruppboende","","","","60% - 80%","100","0","10","33","10","57","63","44","10","80","75","56","x","x","90","x","90","78","75","0","13","71","x","88","25","89","70"
"1","162","Odinslund äldreboende","","","","40% - 60%","100","0","32","61","5","88","76","65","50","76","88","88","56","77","89","80","88","88","38","50","50","60","25","88","65","94","82"
"1","162","Stocksundsgården","","","","60% - 80%","0","100","58","53","16","100","78","61","95","89","53","79","41","67","100","94","89","84","65","61","58","88","50","58","63","81","94"
"1","162","Stocksundsgården","Nedre plan A+C","","","60% - 80%","0","100","42","50","8","100","73","55","92","83","58","67","27","55","100","90","83","83","60","36","42","82","44","50","58","73","91"
