"Länskod","Kommunkod","Nivå 1","Nivå 2","Nivå 3","Nivå 4","Totalt, andel svar, procent","Enskild","Offentlig","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","114","Brobacken","","","","40% - 60%","0","100","34","39","19","96","69","58","39","61","63","70","45","53","91","72","94","82","66","55","31","69","43","80","49","87","70"
"1","114","Edsby slott","","","","60% - 80%","100","0","16","28","16","87","67","63","79","73","52","65","53","65","91","81","79","82","68","76","35","75","45","70","60","74","74"
"1","114","Edsby slott","Flygeln, somatik","","","60% - 80%","100","0","27","33","27","85","71","64","79","60","57","71","62","69","93","85","86","86","85","73","36","71","57","73","60","92","92"
"1","114","Edsby slott","Slottet, demens","","","40% - 60%","100","0","0","14","0","100","x","57","86","x","x","x","x","x","86","x","71","x","x","100","x","86","x","x","71","43","43"
"1","114","Hedvigsgården","","","","40% - 60%","0","100","27","33","7","100","64","57","43","80","79","73","75","64","93","93","87","87","64","67","21","86","64","80","53","82","80"
"1","114","Speldosan","","","","60% - 80%","0","100","23","38","15","40","42","33","50","46","62","54","36","67","77","67","83","54","36","54","38","62","55","73","46","73","54"
"1","115","Augustendal","","","","60% - 80%","100","0","16","40","4","79","74","52","63","64","71","79","24","57","88","65","78","87","62","47","29","71","41","83","60","91","79"
"1","115","Augustendal","Demensboende","","","60% - 80%","100","0","7","47","7","73","77","57","73","69","85","86","13","67","93","73","79","93","62","58","36","73","50","93","73","93","87"
"1","115","Augustendal","Omvårdnadsboende","","","60% - 80%","100","0","30","30","0","88","70","44","x","56","50","70","33","44","80","56","78","78","63","29","20","67","33","70","40","89","67"
"1","115","Korallens vårdboende","","","","40% - 60%","0","100","27","40","12","94","52","54","52","63","54","54","35","52","92","79","81","88","57","46","52","58","32","88","40","80","81"
"1","115","Korallens vårdboende","Demensboende","","","40% - 60%","0","100","33","17","25","89","58","50","45","75","55","42","30","64","92","91","83","92","64","45","33","70","44","83","36","73","83"
"1","115","Korallens vårdboende","Omvårdnadsboende","","","60% - 80%","0","100","21","62","0","100","46","57","58","50","54","64","38","43","93","69","79","86","50","46","69","50","23","93","43","89","79"
"1","115","Stångberga","","","","60% - 80%","100","0","36","45","0","100","73","64","60","70","50","64","44","64","91","82","100","82","67","91","55","100","67","100","27","100","82"
"1","115","Stångberga","Somatik","","","60% - 80%","100","0","29","43","x","x","57","57","x","x","x","57","x","57","100","86","100","71","x","86","71","x","x","x","43","x","71"
"1","115","Väsbygården","","","","40% - 60%","0","100","22","41","7","95","73","64","71","67","76","80","59","70","100","88","96","96","42","60","25","69","41","93","56","84","81"
"1","115","Väsbygården","Somatik","","","40% - 60%","0","100","20","45","5","100","74","61","71","55","67","83","59","67","100","85","94","95","50","61","28","74","40","95","65","92","80"
"1","115","Vårdbo","","","","60% - 80%","100","0","41","50","25","58","50","50","58","44","50","64","8","33","100","67","85","71","46","23","33","60","20","63","29","56","35"
"1","115","Vårdbo","Demensboende","","","40% - 60%","100","0","44","38","33","x","44","56","x","50","63","75","x","x","100","x","75","78","50","x","29","50","x","63","22","x","33"
"1","117","Enebacken","","","","40% - 60%","100","0","28","28","23","73","73","57","55","89","77","75","55","55","98","78","82","74","68","36","26","80","54","84","47","85","81"
"1","117","Enebacken","Plan 3 Lappdal","","","60% - 80%","100","0","14","14","0","71","57","x","x","x","x","x","x","x","100","x","57","43","x","29","43","x","x","x","43","x","57"
"1","117","Muskötvägen","","","","40% - 60%","100","0","27","43","13","92","79","33","69","86","79","86","67","75","100","85","93","93","79","50","57","71","40","100","57","91","87"
"1","117","Smedbygården","","","","60% - 80%","100","0","23","38","29","96","93","94","94","97","93","100","82","75","100","100","97","100","93","100","45","96","73","100","84","100","94"
