"Länskod","Kommunkod","Nivå 1","Nivå 2","Nivå 3","Nivå 4","","Offentlig","Enskild","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"3","381","Malin","","","","60% - 80%","100","0","8","31","0","100","54","54","67","54","36","58","56","50","92","100","92","77","x","45","25","83","83","92","31","100","85"
"3","381","Orion","","","","60% - 80%","0","100","22","46","18","91","79","41","56","67","67","54","28","52","93","77","78","85","30","42","28","61","55","82","36","88","61"
"3","381","Orion","Plan 2 Capella","","","60% - 80%","0","100","43","86","29","x","100","x","57","86","86","71","x","x","100","71","100","100","x","29","57","x","x","86","29","x","100"
"3","381","Rosengården","","","","40% - 60%","0","100","20","40","20","100","78","40","20","67","44","56","44","57","100","78","80","78","63","89","x","78","29","56","50","75","90"
"3","381","Stadsgården","","","","40% - 60%","100","0","54","46","23","100","83","92","36","92","69","85","82","83","100","100","92","100","58","50","42","100","85","83","77","100","92"
"3","381","Tallgården/Trögdshemmet","","","","40% - 60%","100","0","24","38","19","91","83","72","83","68","88","92","60","65","100","91","87","96","68","75","35","76","70","85","52","95","88"
"3","381","Tallgården/Trögdshemmet","Tallgården","","","60% - 80%","100","0","18","33","17","87","81","65","80","53","82","89","57","61","100","93","87","94","50","76","33","71","63","78","44","93","82"
"3","381","Tallgården/Trögdshemmet","Trögdshemmet","","","40% - 60%","100","0","38","50","25","100","88","88","88","100","100","100","x","75","100","88","88","100","100","71","38","86","86","100","71","x","100"
"3","381","Tallgården/Trögdshemmet","Trögdshemmet","Trögdshemmet","","40% - 60%","100","0","38","50","25","100","88","88","88","100","100","100","x","75","100","88","88","100","100","71","38","86","86","100","71","x","100"
"3","382","EDSVÄGEN 16","","","","40% - 60%","100","0","16","28","16","86","58","61","50","75","50","59","44","36","92","65","83","83","53","45","29","70","53","65","32","76","80"
"3","382","LÄRKBACKEN","","","","40% - 60%","100","0","35","61","26","86","71","41","47","86","71","82","60","55","100","78","91","100","60","55","33","62","57","95","35","87","83"
"3","382","OLANDSGÅRDEN","","","","40% - 60%","100","0","28","44","6","100","88","79","69","72","76","81","69","69","100","88","100","94","73","82","39","63","50","83","65","100","94"
"3","382","PARKVÄGEN 7-9","","","","40% - 60%","100","0","32","50","26","93","82","83","71","89","82","71","64","50","94","73","83","88","69","22","18","75","73","82","33","94","84"
"3","382","TALLPARKSGÅRDEN","","","","60% - 80%","100","0","18","45","9","100","64","73","82","91","64","80","78","70","100","89","91","91","67","64","55","70","80","82","55","78","91"
"4","428","Ekgården","","","","40% - 60%","100","0","31","46","46","100","91","75","54","77","62","77","75","85","100","85","77","92","69","85","31","100","x","92","46","100","85"
"4","428","Humlegården","","","","40% - 60%","100","0","32","24","27","94","55","60","61","64","67","65","65","71","95","75","80","95","47","55","15","84","63","95","45","94","86"
"4","428","Humlegården","Demens","","","20% - 40%","100","0","13","25","13","x","x","x","x","50","57","x","x","57","100","x","x","86","x","x","x","x","x","100","38","88","71"
"4","428","Humlegården","Somatik","","","40% - 60%","100","0","43","23","36","92","50","57","69","71","71","57","71","79","93","79","86","100","54","64","21","79","58","93","50","100","93"
"4","461","Ekhagen","","","","40% - 60%","100","0","36","43","29","100","93","86","100","93","92","100","57","69","100","85","100","100","85","86","58","82","55","83","54","100","100"
"4","461","Frustunagården","","","","40% - 60%","100","0","12","35","17","100","69","36","64","50","40","75","18","58","93","67","81","81","57","36","36","47","46","69","39","77","67"
"4","480","Arken","","","","60% - 80%","100","0","26","21","32","82","73","53","53","61","56","44","50","54","100","73","89","74","27","39","35","69","53","87","53","71","74"
"4","480","Arken","Arken Demensboende","","","60% - 80%","100","0","26","21","32","82","73","53","53","61","56","44","50","54","100","73","89","74","27","39","35","69","53","87","53","71","74"
"4","480","Arken","Arken Demensboende","Db Rönnen","","80% - 100%","100","0","25","25","38","x","x","x","86","29","x","29","x","x","100","x","86","88","x","43","25","x","x","x","75","x","75"
"4","480","Betelhemmet","","","","40% - 60%","0","100","29","57","14","100","43","x","71","71","86","71","57","43","100","71","71","71","x","100","29","86","x","100","71","x","86"
"4","480","Betelhemmet","Betelhemmet Äldreboende","","","40% - 60%","0","100","29","57","14","100","43","x","71","71","86","71","57","43","100","71","71","71","x","100","29","86","x","100","71","x","86"
"4","480","Betelhemmet","Betelhemmet Äldreboende","Äb Betelhemmet","","40% - 60%","0","100","29","57","14","100","43","x","71","71","86","71","57","43","100","71","71","71","x","100","29","86","x","100","71","x","86"
"4","480","Björkgården","","","","40% - 60%","0","100","23","58","15","91","91","83","92","91","83","91","75","75","100","92","92","100","63","67","33","91","60","100","42","x","92"
"4","480","Björkgården","Björkgården Äldreboende","","","60% - 80%","0","100","17","55","8","90","91","82","91","90","82","90","73","73","100","91","91","100","57","64","36","90","56","100","36","x","91"
"4","480","Björkgården","Björkgården Äldreboende","Äb Björkgården","","60% - 80%","0","100","17","55","8","90","91","82","91","90","82","90","73","73","100","91","91","100","57","64","36","90","56","100","36","x","91"
"4","480","Fruängskällan","","","","40% - 60%","100","0","28","41","25","97","87","50","66","73","60","68","58","54","97","96","87","94","67","57","28","76","58","90","35","85","80"
"4","480","Fruängskällan","Fruängskällan","","","40% - 60%","100","0","28","41","25","97","87","50","66","73","60","68","58","54","97","96","87","94","67","57","28","76","58","90","35","85","80"
"4","480","Fruängskällan","Fruängskällan","Fruängskällan Demensboende","","40% - 60%","100","0","20","33","40","93","86","50","64","79","64","67","55","38","93","100","93","93","75","69","21","80","50","79","29","85","86"
"4","480","Fruängskällan","Fruängskällan","Fruängskällan Äldreboende","","40% - 60%","100","0","35","47","12","100","88","50","67","69","56","69","62","67","100","93","81","94","58","47","33","73","64","100","41","85","75"
"4","480","Fruängskällan","Fruängskällan","Fruängskällan Äldreboende","Äb Fruäng 1 A","60% - 80%","100","0","29","43","0","x","86","57","71","57","57","86","57","71","100","x","57","86","x","43","29","x","x","100","57","x","71"
"4","480","Hållet","","","","40% - 60%","100","0","26","32","21","69","63","41","44","42","47","59","60","60","100","73","79","74","56","58","28","60","38","74","32","91","61"
"4","480","Hållet","Hållet Äldreboende","","","40% - 60%","100","0","26","32","21","69","63","41","44","42","47","59","60","60","100","73","79","74","56","58","28","60","38","74","32","91","61"
"4","480","Lundagården","","","","60% - 80%","100","0","20","26","25","67","61","76","41","74","76","65","29","59","79","65","68","84","47","40","33","40","43","78","24","67","68"
"4","480","Lundagården","Lundagården","","","60% - 80%","100","0","20","26","25","67","61","76","41","74","76","65","29","59","79","65","68","84","47","40","33","40","43","78","24","67","68"
"4","480","Lundagården","Lundagården","Lundagården Demensboende","","60% - 80%","100","0","13","21","20","54","54","75","54","79","83","60","25","42","79","50","64","79","38","42","25","50","55","77","13","71","57"
"4","480","Mariebergsgården","","","","60% - 80%","100","0","36","45","24","82","68","54","66","67","59","74","46","59","98","75","92","81","28","33","40","56","44","86","40","84","75"
"4","480","Mariebergsgården","Mariebergsgården","","","60% - 80%","100","0","36","45","24","82","68","54","66","67","59","74","46","59","98","75","92","81","28","33","40","56","44","86","40","84","75"
"4","480","Mariebergsgården","Mariebergsgården","Mariebergsgården Demensboende","","40% - 60%","100","0","27","32","18","78","70","45","53","74","76","63","40","53","100","78","95","86","38","18","35","65","44","86","45","81","67"
"4","480","Mariebergsgården","Mariebergsgården","Mariebergsgården Demensboende","Db Mbg 2A Smaragden","40% - 60%","100","0","14","29","14","x","x","29","x","x","x","71","x","x","100","71","100","57","x","14","29","x","x","71","29","71","57"
"4","480","Mariebergsgården","Mariebergsgården","Mariebergsgården Demensboende","Db Mbg 3B Opalen","60% - 80%","100","0","38","38","13","x","86","50","43","57","x","x","x","x","100","x","100","100","x","25","43","57","29","88","63","75","71"
"4","480","Mariebergsgården","Mariebergsgården","Mariebergsgården Äldreboende","","60% - 80%","100","0","41","52","27","85","67","58","73","64","52","79","49","62","98","74","91","79","24","40","43","53","44","86","37","86","79"
"4","480","Mariebergsgården","Mariebergsgården","Mariebergsgården Äldreboende","Äb Mbg vån 4A","60% - 80%","100","0","38","25","25","100","88","75","88","50","50","75","38","43","100","63","100","100","38","25","63","57","x","88","13","x","100"
"4","480","Mariebergsgården","Mariebergsgården","Mariebergsgården Äldreboende","Äb Mbg vån 5A","60% - 80%","100","0","38","38","25","x","57","38","x","50","25","75","57","71","100","x","100","86","43","29","x","71","x","100","14","x","57"
"4","480","Mariebergsgården","Mariebergsgården","Mariebergsgården Äldreboende","Äb Mbg vån 5B","60% - 80%","100","0","57","86","29","x","57","57","x","86","71","71","x","71","100","71","86","71","29","57","x","29","x","71","57","x","71"
"4","480","Mariebergsgården","Mariebergsgården","Mariebergsgården Äldreboende","Äb Mbg vån 6","60% - 80%","100","0","38","63","31","85","80","69","67","56","64","93","50","71","100","85","88","81","9","60","60","62","42","93","63","90","88"
"4","480","Myntan","","","","40% - 60%","100","0","12","28","18","77","56","47","16","45","53","59","43","73","88","80","82","91","29","42","37","67","36","85","32","80","64"
"4","480","Myntan","Myntan","","","40% - 60%","100","0","12","28","18","77","56","47","16","45","53","59","43","73","88","80","82","91","29","42","37","67","36","85","32","80","64"
"4","480","Myntan","Myntan","Myntan Äldreboende","","60% - 80%","100","0","14","32","21","75","55","52","18","36","50","59","46","75","90","79","79","89","28","45","37","62","28","83","31","76","59"
"4","480","Myntan","Myntan","Myntan Äldreboende","Äb Myntan vån 5C","80% - 100%","100","0","29","29","29","x","71","29","x","29","29","57","43","x","71","71","86","x","14","29","x","43","x","71","0","x","57"
"4","480","Riggargatan","","","","60% - 80%","0","100","48","50","13","93","73","69","90","84","73","76","55","72","97","77","97","91","81","78","33","94","63","85","53","85","84"
"4","480","Riggargatan","Riggargatans Äldreboende","","","60% - 80%","0","100","48","50","13","93","73","69","90","84","73","76","55","72","97","77","97","91","81","78","33","94","63","85","53","85","84"
"4","480","Riggargatan","Riggargatans Äldreboende","Riggargatan 1 a","","60% - 80%","0","100","60","40","10","100","60","78","100","70","70","50","30","33","90","70","90","80","60","80","20","80","25","80","50","89","78"
"4","480","Riggargatan","Riggargatans Äldreboende","Riggargatan 1 b","","60% - 80%","0","100","43","50","13","86","75","50","75","88","75","75","x","x","100","x","100","86","86","57","57","100","100","63","75","x","63"
"4","480","Riggargatan","Riggargatans Äldreboende","Riggargatan 2 a","","60% - 80%","0","100","38","50","14","86","100","75","100","100","75","100","63","100","100","88","100","100","88","71","25","100","71","100","38","x","100"
"4","480","Riggargatan","Riggargatans Äldreboende","Riggargatan 2 b","","60% - 80%","0","100","50","63","14","x","57","71","86","x","71","88","57","100","100","86","100","100","100","100","38","100","57","100","50","x","x"
"4","480","S:t Anna","","","","60% - 80%","0","100","21","44","14","100","70","50","82","70","61","66","45","61","94","67","79","82","45","76","41","77","58","87","47","95","88"
"4","480","S:t Anna","S:t Anna","","","60% - 80%","0","100","21","44","14","100","70","50","82","70","61","66","45","61","94","67","79","82","45","76","41","77","58","87","47","95","88"
"4","480","S:t Anna","S:t Anna","S:t Anna Demensboende","","40% - 60%","0","100","18","45","17","100","75","83","92","75","82","92","78","70","92","88","92","83","64","75","78","82","80","90","50","89","92"
"4","480","S:t Anna","S:t Anna","S:t Anna Äldreboende","","80% - 100%","0","100","23","43","13","100","67","32","77","67","50","52","30","57","95","59","71","81","33","77","25","74","44","85","45","100","86"
"4","480","S:t Anna","S:t Anna","S:t Anna Äldreboende","Äb St Anna Flora 1","80% - 100%","0","100","x","29","0","x","x","29","86","x","57","43","x","x","x","x","71","86","x","86","x","x","x","x","x","x","86"
"4","480","S:t Anna","S:t Anna","S:t Anna Äldreboende","Äb St Anna Flora 2","80% - 100%","0","100","40","50","30","100","70","20","70","50","33","40","22","60","90","50","75","63","29","67","38","67","43","78","22","x","75"
"4","480","Väverskan","","","","60% - 80%","100","0","48","50","23","96","75","76","88","86","76","83","68","72","93","85","97","93","77","66","46","83","76","90","60","85","89"
"4","480","Väverskan","Väverskan Äldreboende","","","60% - 80%","100","0","48","50","23","96","75","76","88","86","76","83","68","72","93","85","97","93","77","66","46","83","76","90","60","85","89"
"4","480","Väverskan","Väverskan Äldreboende","Äb Väverskan Bommen","","80% - 100%","100","0","29","43","25","x","86","71","100","75","43","75","x","71","75","71","88","75","86","63","57","57","x","88","88","x","71"
"4","480","Väverskan","Väverskan Äldreboende","Äb Väverskan Skyttel","","60% - 80%","100","0","x","86","x","x","57","86","x","100","86","100","x","86","x","x","100","100","x","x","43","x","x","100","57","x","x"
"4","480","Väverskan","Väverskan Äldreboende","Äb Väverskan Spolen","","60% - 80%","100","0","50","38","38","100","71","88","x","88","100","100","63","75","100","86","100","100","71","75","57","100","x","88","50","x","88"
"4","480","Väverskan","Väverskan Äldreboende","Äb Väverskan Varpen","","60% - 80%","100","0","50","38","13","x","86","57","x","x","71","57","x","57","100","86","100","100","x","57","29","x","x","86","43","x","100"
"4","481","Björntorp","","","","40% - 60%","100","0","24","41","13","94","69","63","56","72","59","65","52","58","100","70","83","97","50","59","30","77","58","89","32","77","83"
"4","481","Björntorp","Björntorps demensboende G, H, J","","","40% - 60%","100","0","31","46","15","90","62","46","42","77","50","64","38","50","100","75","85","100","33","77","13","78","x","92","8","75","85"
"4","481","Björntorp","Björntorps äldreboende","","","40% - 60%","100","0","21","33","5","94","63","63","56","65","53","65","47","56","100","63","76","94","67","44","35","75","46","82","44","71","75"
"4","481","Björntorp","Björntorps äldreboende","Sektion K","","60% - 80%","100","0","11","13","0","100","x","43","57","57","43","63","29","38","100","43","71","100","x","25","14","57","x","71","50","56","x"
"4","481","Sjötångens äldreboende","","","","60% - 80%","100","0","38","52","33","94","50","38","56","50","42","63","26","75","96","91","92","91","33","39","30","86","53","78","26","94","75"
"4","481","Sjötångens äldreboende","Havet","","","40% - 60%","100","0","57","x","43","x","57","71","x","100","86","71","x","x","100","x","86","100","x","x","x","x","x","86","x","86","86"
"4","481","Sjötångens äldreboende","Stranden/Snäckan","","","60% - 80%","100","0","18","55","27","88","36","18","71","45","27","55","36","80","91","80","91","91","50","45","27","100","67","82","18","100","73"
"4","482","Flen","","","","40% - 60%","100","0","35","33","24","90","82","74","85","70","72","82","55","56","98","85","89","96","75","66","49","72","50","89","60","89","87"
"4","482","Flen","Drejskivan","","","60% - 80%","100","0","32","43","14","100","90","79","71","81","81","86","58","63","95","89","86","100","78","57","30","68","56","91","62","89","86"
"4","482","Flen","Drejskivan","Drejskivan omvårdnadsboende","","60% - 80%","100","0","37","44","16","100","88","75","73","83","83","84","63","69","95","87","84","100","73","61","35","71","63","89","72","93","83"
"4","482","Flen","Slottsängen","","","20% - 40%","100","0","27","18","27","63","44","56","88","50","44","67","14","x","100","57","89","89","56","67","56","x","x","67","55","89","67"
"4","482","Flen","Slottsängen","Slottsängen omvårdnadsboende","","40% - 60%","100","0","30","10","20","57","38","50","86","44","38","63","14","x","100","57","88","88","63","63","50","x","x","63","50","89","63"
"4","482","Flen","Solviken","","","60% - 80%","100","0","44","31","38","94","93","80","100","69","75","86","71","57","100","93","93","94","85","79","69","79","62","100","63","88","100"
"4","482","Flen","Solviken","Solviken omvårdnadsboende","","60% - 80%","100","0","44","31","38","94","93","80","100","69","75","86","71","57","100","93","93","94","85","79","69","79","62","100","63","88","100"
"4","482","Sparreholm","","","","60% - 80%","100","0","11","63","22","100","88","78","100","88","86","89","88","63","88","88","89","100","86","75","25","75","x","89","38","86","100"
"4","482","Sparreholm","Åsen äldreboende","","","60% - 80%","100","0","11","63","22","100","88","78","100","88","86","89","88","63","88","88","89","100","86","75","25","75","x","89","38","86","100"
"4","482","Sparreholm","Åsen äldreboende","Åsen omvårdnadsboende","","60% - 80%","100","0","11","63","22","100","88","78","100","88","86","89","88","63","88","88","89","100","86","75","25","75","x","89","38","86","100"
"4","483","Område 1","","","","60% - 80%","100","0","32","48","17","100","90","66","81","70","75","79","57","77","100","91","97","82","84","88","51","79","48","84","44","92","92"
"4","483","Område 1","Igelkottens servicehus 1-3","","","60% - 80%","100","0","30","46","18","100","91","67","83","77","79","79","61","80","100","92","96","83","88","88","49","78","45","86","47","91","93"
"4","483","Område 1","Panterns servicehus","","","40% - 60%","100","0","44","56","13","100","89","63","67","33","56","78","33","57","100","88","100","75","57","86","63","88","63","78","25","x","89"
"4","483","Område 2","","","","40% - 60%","100","0","22","37","19","98","70","62","83","74","73","78","43","55","94","79","79","84","69","64","31","73","39","85","44","86","77"
"4","483","Område 2","Lövåsgården","","","40% - 60%","100","0","19","30","19","100","71","64","75","77","74","91","45","60","100","77","83","96","70","60","43","73","26","92","48","90","81"
"4","483","Område 2","Lövåsgården","Demensboende","","40% - 60%","100","0","14","33","20","100","92","71","77","93","83","92","60","67","100","82","92","100","75","77","50","73","40","86","47","100","86"
"4","483","Område 2","Lövåsgården","Vårdboende","","40% - 60%","100","0","25","25","17","100","50","55","73","58","64","90","33","55","100","73","73","92","64","42","36","73","11","100","50","82","75"
"4","483","Område 2","Norrgläntan","","","20% - 40%","100","0","20","38","0","100","56","80","90","89","71","80","x","x","100","x","86","x","x","75","0","x","x","88","50","89","78"
"4","483","Område 2","Strandgården","","","40% - 60%","100","0","26","44","26","95","74","54","88","67","72","65","38","54","85","90","72","73","67","64","29","70","43","77","38","80","74"
"4","483","Område 2","Strandgården","Demensboende","","20% - 40%","100","0","0","14","43","x","x","14","71","57","x","29","0","x","x","x","x","43","x","x","14","x","x","71","14","x","14"
"4","483","Område 2","Strandgården","Vårdboende","","60% - 80%","100","0","35","55","20","100","79","68","94","70","80","79","53","63","90","94","84","84","76","63","35","74","42","79","47","93","95"
"4","483","Område 3","","","","60% - 80%","100","0","28","45","23","90","82","78","82","74","84","76","56","64","98","83","93","91","73","60","38","71","46","82","40","87","86"
"4","483","Område 3","Almgården","","","60% - 80%","100","0","33","60","13","87","93","73","80","93","87","87","79","77","100","86","93","100","87","71","53","79","82","80","53","71","87"
"4","483","Område 3","Almgården","Vårdboende","","60% - 80%","100","0","42","75","17","83","92","67","75","92","83","83","83","82","100","91","92","100","92","73","58","82","75","83","50","x","83"
"4","483","Område 3","Furuliden","","","60% - 80%","100","0","19","46","12","78","84","73","83","58","77","65","45","57","92","74","92","84","74","58","33","67","42","83","46","82","88"
"4","483","Område 3","Furuliden","Kastanjen","","60% - 80%","100","0","29","86","14","x","100","86","100","86","86","71","43","71","100","x","100","100","x","57","43","x","x","x","57","x","100"
"4","483","Område 3","Furuliden","Liljan","","60% - 80%","100","0","11","22","22","x","67","88","78","44","78","67","71","43","78","71","89","67","75","78","25","56","x","67","67","88","78"
"4","483","Område 3","Furuliden","Prästkragen","","80% - 100%","100","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","71","x"
"4","483","Område 3","Igelkottens vård- och demensboe","","","40% - 60%","100","0","42","25","33","100","83","92","100","83","91","82","40","60","100","91","100","100","55","45","27","88","63","91","27","100","67"
"4","483","Område 3","Igelkottens vård- och demensboe","Vårdboende","","60% - 80%","100","0","40","20","30","100","80","100","100","80","89","80","33","56","100","89","100","100","56","44","30","86","57","90","22","x","60"
"4","483","Område 3","Panterns demensboende","","","60% - 80%","100","0","22","22","33","x","78","88","86","88","88","88","x","x","100","x","89","x","x","33","x","x","x","100","11","100","100"
"4","483","Område 3","Vallgården","","","40% - 60%","100","0","27","55","36","100","64","82","73","64","73","64","63","70","100","90","82","82","73","70","50","60","22","64","36","89","82"
"4","483","Område 3","Vallgården","Vårdboende","","40% - 60%","100","0","0","38","13","x","50","75","75","50","63","50","x","63","100","88","75","75","63","57","50","50","x","50","25","x","75"
"4","483","Område 3","Yngaregården","","","40% - 60%","100","0","33","56","33","100","100","100","x","78","100","88","63","75","100","88","x","100","x","88","25","75","63","75","50","x","100"
"4","484","Djurgården","","","","20% - 40%","100","0","40","30","10","x","75","x","57","78","88","88","57","43","100","71","89","100","x","71","50","x","x","90","40","88","89"
"4","484","Ekebo","","","","40% - 60%","100","0","21","36","7","82","64","64","85","43","64","69","31","46","79","67","85","62","18","79","14","86","54","79","62","63","77"
"4","484","Eskilshem","","","","40% - 60%","0","100","22","29","34","55","70","52","43","70","72","60","44","48","100","63","93","87","61","44","35","93","50","79","50","88","76"
"4","484","Eskilshem","Demensboende","","","40% - 60%","0","100","22","29","34","55","70","52","43","70","72","60","44","48","100","63","93","87","61","44","35","93","50","79","50","88","76"
"4","484","Lagerbergsgården","","","","60% - 80%","100","0","34","44","16","77","80","70","82","71","73","67","49","55","90","79","87","83","73","72","40","77","54","77","51","96","84"
"4","484","Lagerbergsgården","Lagersbergsgården 1","","","60% - 80%","100","0","22","43","17","69","77","67","95","70","55","61","60","70","91","77","87","74","62","77","19","71","65","77","50","92","78"
"4","484","Lagerbergsgården","Lagersbergsgården 1","Äldreboende","","60% - 80%","100","0","22","43","17","69","77","67","95","70","55","61","60","70","91","77","87","74","62","77","19","71","65","77","50","92","78"
"4","484","Lagerbergsgården","Lagersbergsgården 2","","","60% - 80%","100","0","30","50","20","94","82","88","82","56","76","74","61","69","95","88","84","89","80","82","55","57","44","89","53","100","95"
"4","484","Lagerbergsgården","Lagersbergsgården 2","Äldreboende","","60% - 80%","100","0","28","56","22","93","81","87","87","50","75","72","59","67","94","88","83","89","79","81","61","57","44","88","50","100","94"
"4","484","Lagerbergsgården","Lagersbergsgården 3","","","40% - 60%","100","0","33","33","17","79","83","67","80","89","78","67","33","33","83","76","89","78","93","59","50","71","50","63","59","90","81"
"4","484","Lagerbergsgården","Lagersbergsgården 3","Äldreboende","","40% - 60%","100","0","20","27","13","83","80","67","75","87","73","67","23","33","80","73","87","73","92","57","40","71","46","54","57","88","79"
"4","484","Lagerbergsgården","Lagersbergsgården 4","","","40% - 60%","100","0","55","36","27","57","91","70","78","91","90","80","33","33","100","100","91","100","75","70","33","100","x","82","55","100","100"
"4","484","Lagerbergsgården","Lagersbergsgården 4","Demensboende","","40% - 60%","100","0","55","36","27","57","91","70","78","91","90","80","33","33","100","100","91","100","75","70","33","100","x","82","55","100","100"
"4","484","Lagerbergsgården","Lagersbergsgården 5","","","60% - 80%","100","0","46","54","0","75","69","58","60","54","77","62","42","58","85","58","85","85","50","69","42","100","50","69","38","x","69"
"4","484","Lagerbergsgården","Lagersbergsgården 5","Äldreboende","","60% - 80%","100","0","46","54","0","75","69","58","60","54","77","62","42","58","85","58","85","85","50","69","42","100","50","69","38","x","69"
"4","484","Marielund Demensboende","","","","60% - 80%","100","0","18","36","18","100","90","78","100","90","100","89","75","33","100","78","100","100","78","73","44","80","50","100","64","80","90"
"4","484","Marielund Äldreboende","","","","40% - 60%","100","0","31","31","8","100","92","91","91","85","75","54","50","69","100","83","100","92","91","75","40","100","100","92","50","100","83"
"4","484","Måsta Äng","","","","40% - 60%","100","0","24","24","24","71","43","48","67","48","57","70","17","42","92","64","65","81","35","40","35","87","68","75","45","78","58"
"4","484","Måsta Äng","Måsta Äng 2","","","20% - 40%","100","0","14","21","29","67","67","54","82","89","100","90","14","63","100","100","75","100","50","58","36","91","78","83","43","85","83"
"4","484","Måsta Äng","Måsta Äng 2","Enhet 1-4 Demensboende","","20% - 40%","100","0","14","21","29","67","67","54","82","89","100","90","14","63","100","100","75","100","50","58","36","91","78","83","43","85","83"
"4","484","Måsta Äng","Måsta Äng 3","","","40% - 60%","100","0","30","30","10","x","33","33","x","11","22","50","13","x","78","14","67","67","22","25","25","80","63","70","50","x","44"
"4","484","Måsta Äng","Måsta Äng 3","Enhet 5-6 Äldreboende","","40% - 60%","100","0","30","30","10","x","33","33","x","11","22","50","13","x","78","14","67","67","22","25","25","80","63","70","50","x","44"
"4","484","Skogsgläntan","","","","40% - 60%","100","0","20","60","20","x","78","90","50","80","78","90","63","71","100","90","100","100","63","70","33","60","56","100","40","100","80"
"4","484","Skogsgläntan","Demensboende","","","40% - 60%","100","0","29","57","29","x","86","100","43","100","x","100","x","x","100","100","100","100","x","71","x","86","x","x","57","x","86"
"4","484","Solåsen","","","","40% - 60%","100","0","15","31","23","55","77","50","85","62","67","85","75","83","100","77","92","85","55","85","54","85","58","92","62","86","85"
"4","484","Solåsen","Äldreboende","","","40% - 60%","100","0","15","31","23","55","77","50","85","62","67","85","75","83","100","77","92","85","55","85","54","85","58","92","62","86","85"
"4","484","Torshälla","","","","40% - 60%","100","0","23","29","20","93","70","81","59","81","77","83","52","61","94","76","85","87","63","60","22","82","70","88","30","86","87"
"4","484","Torshälla","Snäckberget","","","40% - 60%","100","0","33","33","24","94","76","81","53","89","69","89","43","47","94","67","83","82","64","65","28","71","50","94","13","82","80"
"4","484","Torshälla","Snäckberget","Äldreboende 9+11","","60% - 80%","100","0","25","50","13","x","88","86","50","100","57","88","29","29","88","x","75","75","x","71","38","75","x","86","14","x","86"
"4","484","Torshälla","Spångagården","","","40% - 60%","100","0","12","25","17","92","63","81","67","72","87","76","64","77","94","86","87","93","62","56","14","94","88","82","47","88","94"
"4","484","Torshälla","Spångagården","Spångagården Fridhem/Hagalund","","40% - 60%","100","0","17","18","17","90","82","91","73","83","83","92","78","91","100","100","91","100","67","75","18","100","91","82","50","100","100"
"4","484","Torshälla","Spångagården","Spångagården Fridhem/Hagalund","Hagalund Demensboende/Äldreboen","60% - 80%","100","0","11","11","22","86","75","100","75","78","89","89","71","89","100","100","89","100","71","89","22","100","100","78","56","100","100"
"4","484","Trumslagargården 2","","","","40% - 60%","100","0","20","50","10","x","71","71","x","63","x","67","x","71","100","86","89","89","50","56","x","75","67","78","50","100","78"
"4","484","Tunagården","","","","40% - 60%","100","0","28","32","14","94","70","75","80","78","73","72","45","55","95","78","96","91","67","63","35","87","60","91","46","87","89"
"4","484","Tunagården","Tunagården 1","","","40% - 60%","100","0","39","39","6","94","78","72","82","94","85","89","57","71","100","83","100","94","63","82","40","87","62","100","56","94","100"
"4","484","Tunagården","Tunagården 1","Enhet 1-2-5-6 Demensboende","","40% - 60%","100","0","39","39","6","94","78","72","82","94","85","89","57","71","100","83","100","94","63","82","40","87","62","100","56","94","100"
"4","484","Tunagården","Tunagården 2","","","40% - 60%","100","0","28","28","28","93","61","81","71","72","76","44","47","31","94","59","94","83","71","31","13","83","53","94","28","79","72"
"4","484","Tunagården","Tunagården 2","Enhet 3-4 Demensboende","","40% - 60%","100","0","28","28","28","93","61","81","71","72","76","44","47","31","94","59","94","83","71","31","13","83","53","94","28","79","72"
"4","484","Tunagården","Tunagården 3","","","40% - 60%","100","0","19","29","10","95","71","71","86","68","62","81","40","62","90","90","95","95","68","71","50","90","65","81","52","86","95"
"4","484","Tunagården","Tunagården 3","Enhet 7-8 Äldreboende","","40% - 60%","100","0","19","29","10","95","71","71","86","68","62","81","40","62","90","90","95","95","68","71","50","90","65","81","52","86","95"
"4","484","Ärlagården","","","","40% - 60%","100","0","10","20","30","x","60","80","x","70","56","70","30","56","100","80","90","80","x","75","33","60","57","80","40","x","80"
"4","484","Ärlagården","Äldreboende","","","40% - 60%","100","0","14","29","43","x","57","86","x","71","57","71","43","x","100","86","86","86","x","x","x","71","x","86","43","x","86"
"4","484","Åbacken","","","","40% - 60%","100","0","25","32","6","88","80","77","64","73","66","66","60","54","94","78","84","94","68","54","39","83","50","87","44","96","83"
"4","484","Åbacken","Åbacken 1","","","60% - 80%","100","0","31","50","13","92","88","75","62","69","63","63","73","64","94","87","81","94","79","63","47","80","55","81","50","100","80"
"4","484","Åbacken","Åbacken 1","Enhet 1-2 Äldreboende","","60% - 80%","100","0","31","50","13","92","88","75","62","69","63","63","73","64","94","87","81","94","79","63","47","80","55","81","50","100","80"
"4","484","Åbacken","Åbacken 2","","","40% - 60%","100","0","19","13","0","85","71","79","67","79","69","69","40","40","94","67","87","94","50","42","31","86","46","93","38","92","86"
