"Länskod","Kommunkod","Nivå 1","Nivå 2","Nivå 3","Nivå 4","","Offentlig","Enskild","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","123","Lönnen äldreboende","","","","40% - 60%","0","100","29","38","21","72","88","68","70","91","87","82","47","58","100","96","100","91","44","37","19","85","76","86","52","95","88"
"1","123","Olovslunds äldreboende","","","","40% - 60%","100","0","14","21","14","63","62","54","44","67","60","83","44","30","100","64","100","92","45","36","18","100","55","71","36","78","93"
"1","123","Tallbohovs äldreboende/omsorg","","","","40% - 60%","100","0","35","59","4","64","71","62","40","69","58","74","42","57","91","74","88","88","67","39","36","77","53","78","40","91","72"
"1","123","Tallbohovs äldreboende/omsorg","Oms","","","40% - 60%","100","0","27","50","0","63","68","50","38","73","73","73","44","67","95","74","80","80","71","25","32","67","35","73","43","87","68"
"1","123","Tallbohovs äldreboende/omsorg","dem","","","40% - 60%","100","0","42","67","8","65","75","73","42","65","43","76","40","47","88","73","95","95","63","53","40","88","73","84","38","94","76"
"1","125","Ekgården","","","","40% - 60%","100","0","29","50","4","95","57","52","68","95","62","74","35","55","100","71","91","91","74","67","23","76","56","81","59","88","83"
"1","125","Färingsöhemmet","","","","60% - 80%","100","0","45","50","15","100","95","68","71","85","74","95","73","78","100","100","95","100","65","75","44","94","75","100","63","100","100"
"1","125","Kullen","","","","40% - 60%","0","100","15","49","10","90","68","54","71","65","67","70","52","65","95","85","84","86","55","55","36","76","67","81","54","96","79"
"1","126","Björnkulla 1","","","","40% - 60%","100","0","29","71","29","85","79","83","79","79","71","85","50","50","92","77","85","85","31","64","36","92","55","86","54","83","79"
"1","126","Björnkulla 1","Demensboende","","","60% - 80%","100","0","27","82","27","100","91","80","73","91","73","80","57","56","100","80","100","80","30","73","38","100","63","82","40","100","91"
"1","126","Björnkulla 2","","","","40% - 60%","100","0","46","38","38","80","79","71","77","100","92","92","58","85","100","100","100","93","67","79","29","54","42","92","38","100","86"
"1","126","Björnkulla 2","Demensboende","","","40% - 60%","100","0","38","38","25","x","67","67","75","100","100","100","71","75","100","100","100","89","63","67","33","63","38","88","25","100","89"
"1","126","Ekgården","","","","40% - 60%","100","0","29","29","14","x","x","x","x","71","x","71","x","x","100","x","86","86","x","x","x","x","x","x","57","x","x"
"1","126","Ekgården","Demensboende","","","40% - 60%","100","0","29","29","14","x","x","x","x","71","x","71","x","x","100","x","86","86","x","x","x","x","x","x","57","x","x"
"1","126","Externt","","","","20% - 40%","0","100","12","42","8","75","88","73","52","67","68","65","44","58","76","71","81","73","62","50","35","82","45","84","48","88","75"
"1","126","Externt","Attendo Skutan","","","20% - 40%","0","100","15","42","8","67","92","85","27","73","80","77","22","30","77","75","77","85","70","40","45","82","30","100","50","78","83"
"1","126","Externt","Vårbacka Plaza Aleris","","","20% - 40%","0","100","11","22","11","75","78","44","63","56","44","44","57","x","63","67","78","56","50","38","x","71","43","67","44","x","63"
"1","126","Kullagården","","","","40% - 60%","100","0","23","38","38","70","82","82","92","91","90","77","x","60","92","100","100","100","63","40","45","100","x","83","33","71","91"
"1","126","Kullagården","Demensboende","","","40% - 60%","100","0","23","38","38","70","82","82","92","91","90","77","x","60","92","100","100","100","63","40","45","100","x","83","33","71","91"
"1","126","Rosendalsgården","","","","60% - 80%","100","0","29","63","24","88","71","73","74","79","62","76","37","52","97","86","91","97","75","91","42","86","43","91","62","86","88"
"1","126","Rosendalsgården","Ålderdomshem","","","60% - 80%","100","0","29","63","24","88","71","73","74","79","62","76","37","52","97","86","91","97","75","91","42","86","43","91","62","86","88"
"1","126","Stuvstagården","","","","40% - 60%","100","0","18","27","18","91","63","56","13","70","56","91","57","71","91","88","70","63","38","22","43","75","75","90","50","90","91"
"1","126","Tallgården","","","","60% - 80%","100","0","26","52","11","81","85","75","64","74","68","91","59","81","94","81","94","85","67","69","45","74","44","91","49","79","88"
"1","126","Tallgården","Tallgården 1","","","60% - 80%","100","0","12","53","0","73","87","69","45","75","69","81","50","73","88","80","88","81","63","57","40","64","33","86","50","57","87"
"1","126","Tallgården","Tallgården 1","Ålderdomshem","","60% - 80%","100","0","12","53","0","73","87","69","45","75","69","81","50","73","88","80","88","81","63","57","40","64","33","86","50","57","87"
"1","126","Tallgården","Tallgården 2","","","60% - 80%","100","0","35","47","24","87","82","80","77","71","64","100","69","87","100","80","100","88","67","76","47","81","53","94","50","92","89"
"1","126","Tallgården","Tallgården 2","Ålderdomshem","","60% - 80%","100","0","35","47","24","87","82","80","77","71","64","100","69","87","100","80","100","88","67","76","47","81","53","94","50","92","89"
"1","126","Västergården","","","","40% - 60%","100","0","18","45","16","89","68","64","59","59","53","55","29","46","87","69","84","70","54","61","35","67","38","69","41","83","69"
"1","126","Västergården","Västergården 1","","","40% - 60%","100","0","22","56","22","88","78","100","57","78","57","67","x","56","100","50","89","89","71","56","x","71","x","56","22","x","89"
"1","126","Västergården","Västergården 1","Demensboende","","40% - 60%","100","0","25","63","25","86","75","100","x","88","57","75","x","63","100","57","88","88","71","63","x","x","x","63","13","x","88"
"1","126","Västergården","Västergården 2","","","60% - 80%","100","0","17","41","14","90","64","54","60","54","52","52","32","43","83","75","83","64","48","62","36","65","40","74","46","79","63"
"1","126","Västergården","Västergården 2","Ålderdomshem","","60% - 80%","100","0","13","40","13","94","61","59","60","48","46","42","30","42","79","71","79","61","50","63","38","68","35","78","43","75","57"
"1","126","Ängsgården","","","","40% - 60%","100","0","33","29","27","93","57","33","73","86","62","64","50","60","93","91","93","93","45","40","23","92","36","93","33","92","93"
"1","127","Alby Äng","","","","20% - 40%","100","0","18","27","19","77","63","53","60","65","50","44","33","47","88","75","65","75","46","50","21","80","33","81","41","56","56"
"1","127","Alby Äng","Demens","","","20% - 40%","100","0","10","22","22","71","50","44","44","90","60","22","38","50","90","80","60","70","44","40","11","75","57","90","20","x","56"
"1","127","Alby Äng","Somatisk","","","40% - 60%","100","0","29","x","14","x","x","x","x","29","x","71","29","43","86","x","71","x","x","x","x","86","x","x","71","x","57"
"1","127","Allégården","","","","40% - 60%","100","0","41","48","22","95","77","81","95","62","67","65","59","67","100","95","95","91","60","65","24","82","42","78","43","94","87"
"1","127","Allégården","Demens","","","40% - 60%","100","0","47","65","29","100","81","88","93","69","71","82","58","73","100","94","94","94","62","59","33","81","53","82","53","100","88"
"1","127","Kärsdala","","","","60% - 80%","100","0","12","38","8","91","76","71","79","65","54","56","33","52","92","71","88","88","65","71","17","75","35","85","50","92","77"
"1","127","Kärsdala","Somatisk","","","60% - 80%","100","0","13","35","9","89","73","71","81","61","52","55","30","52","91","70","90","86","65","76","18","71","28","83","43","90","74"
"1","127","Sandstugan","","","","40% - 60%","0","100","15","36","15","63","67","70","58","58","60","54","0","20","92","x","67","73","44","46","22","82","70","67","54","89","45"
"1","127","Silverkronan","","","","40% - 60%","100","0","42","25","17","79","65","77","85","70","73","78","47","79","95","83","95","86","61","50","33","71","35","82","35","73","77"
"1","127","Silverkronan","Demens","","","60% - 80%","100","0","45","18","27","88","88","100","89","70","73","80","50","75","100","71","100","89","57","56","25","88","38","90","30","x","78"
"1","127","Silverkronan","Somatisk","","","40% - 60%","100","0","38","31","8","73","50","62","82","69","73","77","45","82","92","91","92","85","64","45","40","62","33","75","38","78","77"
"1","127","Tornet","","","","40% - 60%","100","0","29","25","13","76","70","57","68","70","70","83","67","59","92","79","87","87","58","57","26","62","37","78","29","94","87"
"1","127","Tornet","Demens","","","40% - 60%","100","0","25","19","19","71","60","53","71","56","63","75","64","67","88","81","88","88","62","46","25","73","38","81","25","93","80"
"1","127","Tornet","Somatisk","","","40% - 60%","100","0","38","38","0","86","88","63","63","100","86","100","71","43","100","75","86","86","x","75","29","x","x","71","38","x","100"
"1","127","Tumba","","","","40% - 60%","100","0","27","37","16","69","51","59","47","55","59","62","36","47","90","70","84","80","50","44","29","63","33","74","50","75","69"
"1","127","Tumba","Demens","","","40% - 60%","100","0","35","30","15","58","47","63","33","58","67","61","50","42","100","67","88","89","56","35","24","80","46","84","42","75","70"
"1","127","Tumba","Somatisk","","","40% - 60%","100","0","21","41","17","74","54","57","60","54","54","62","28","50","83","71","82","75","46","50","32","54","26","67","56","75","68"
