"Läns-kod","Kommun-kod","Enhet, nivå 1","","","","","place holder1","place holder 2","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","126","Björnkulla 2","","","","40-60","0","0","31","46","25","80","62","77","77","85","69","92","42","50","100","83","75","92","62","69","38","85","55","92","25","100","58"
"1","126","Björnkulla 2","Björnkulla 2 Demensboende","","","40-60","0","0","11","44","25","86","56","78","78","89","78","89","50","x","100","75","75","100","56","67","44","89","56","100","22","100","56"
"1","126","Ekgården","","","","40-60","0","0","29","x","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","57","x","x"
"1","126","Externt","","","","20-40","0","0","18","44","24","85","53","41","38","69","43","56","42","79","94","67","88","80","75","47","50","69","36","71","25","91","75"
"1","126","Externt","Extern Skutan","","","20-40","0","0","29","29","0","x","71","43","43","x","x","57","x","x","100","x","86","71","x","x","29","x","x","86","x","100","86"
"1","126","Externt","Vårbacka plaza Aleris","","","20-40","0","0","13","50","50","86","38","38","29","x","43","57","x","86","88","71","100","86","x","43","71","x","29","63","38","x","63"
"1","126","Kullagården","","","","40-60","0","0","21","36","14","90","75","73","88","73","78","75","x","22","83","71","92","75","45","44","40","82","57","90","21","89","75"
"1","126","Rosendalsgården","","","","60-80","0","0","33","61","27","100","71","58","77","93","70","77","53","72","90","86","97","94","77","83","59","75","57","86","48","100","97"
"1","126","Västergården 1","","","","40-60","0","0","13","21","13","80","100","57","42","77","62","79","50","77","79","62","93","73","50","42","15","53","38","57","40","100","64"
"1","126","Västergården 1","Västergården 1 Demensboende","","","40-60","0","0","25","29","25","x","100","63","43","x","x","86","x","x","86","x","100","75","x","x","x","63","x","57","38","x","71"
"1","126","Västergården 1","Västergården 1 Äldreboende","","","40-60","0","0","0","14","0","x","100","x","x","57","29","71","43","57","71","43","86","71","x","x","14","43","29","57","43","x","57"
"1","126","Västergården 2","","","","40-60","0","0","14","40","5","73","47","28","33","21","25","29","25","30","75","61","79","65","13","32","25","58","31","63","43","73","41"
"1","126","Västergården 2","Västergården 2 Äldreboende","","","40-60","0","0","17","41","6","75","44","27","27","18","18","22","21","24","71","60","75","65","8","31","22","50","23","63","44","67","36"
"1","126","Ängsgården","","","","40-60","0","0","22","33","11","x","44","63","75","75","86","88","43","x","100","86","86","88","x","38","29","75","43","67","22","100","100"
